分區業務組別代碼	醫事機構代碼	權屬別名稱	醫事機構名稱	機構地址	電話區域號碼	電話號碼	特約類別	型態別代碼	醫事機構種類	終止合約或歇業日期	原始合約起始日期
1	101090517	部立及直轄市立醫院	臺北市立聯合醫院	臺北市大同區鄭州路１４５號（代表）	2	25553000	2	1	A		20050101
1	111070010	部立及直轄市立醫院	衛生福利部基隆醫院	基隆市信義區信二路２６８號	2	24292525	2	1	A		19950301
1	131020016	部立及直轄市立醫院	新北市立聯合醫院	新北市三重區新北大道１段３號、３之１號、板橋區英士路１９８號	2	29829111	2	1	A		20111101
1	131060010	部立及直轄市立醫院	衛生福利部樂生療養院	新北市新莊區中正路７９４號及桃園縣龜山鄉萬壽路１段５０巷２號	2	82006600	3	2	A		19950707
1	131060029	部立及直轄市立醫院	衛生福利部臺北醫院	新北市新莊區思源路１２７號、新北巿新莊區長青街６號２樓、３樓	2	22765566	2	1	A		19950301
1	131230012	部立及直轄市立醫院	衛生福利部八里療養院	新北市八里區華富山３３號、土城區青雲路６號１、２樓、蘆洲區	2	26101660	2	4	A		19950301
1	190030516	部立及直轄市立醫院	衛生福利部金門醫院	金門縣金湖鎮復興路２號、烈嶼鄉上林村后井３７號（烈嶼院區）	82	332546	3	1	A		20051001
1	211070012	縣市立醫院	基隆市立醫院	基隆市信義區東信路２８２號，中正區義二路２巷６號	2	24652141	3	2	A		19950301
1	291010010	縣市立醫院	連江縣立醫院	連江縣南竿鄉復興村２１７號	83	623995	3	2	A		19950301
1	401020013	公立醫學院校附設醫院	國立臺灣大學醫學院附設醫院癌醫中心分院	臺北市大安區基隆路３段１５５巷５７號	2	23220322	2	2	A		20181203
1	401180014	公立醫學院校附設醫院	國立臺灣大學醫學院附設醫院	臺北市中正區中山南路７、８號；常德街１號	2	23123456	1	1	A		19950301
1	401180023	公立醫學院校附設醫院	國立臺灣大學醫學院附設醫院兒童醫院	臺北市中正區中山南路８號	2	23123456	1	1	A		20140801
1	401190010	公立醫學院校附設醫院	國立臺灣大學醫學院附設醫院北護分院	臺北市萬華區康定路３７號、臺北市萬華區內江街８７號	2	23717101	3	1	A		19950301
1	431270012	公立醫學院校附設醫院	國立臺灣大學醫學院附設醫院金山分院	新北市金山區五湖里玉爐路７號	2	24989898	3	2	A		20101001
1	434010518	公立醫學院校附設醫院	國立陽明交通大學附設醫院	宜蘭縣宜蘭市校舍路１６９號、新民路１５２號	3	9325192	2	1	A		20080101
1	501010019	軍方醫院（民眾診療）	三軍總醫院松山分院附設民眾診療服務處	臺北市松山區健康路１３１號	2	27642151	2	1	A		19950301
1	501110514	軍方醫院（民眾診療）	三軍總醫院附設民眾診療服務處	臺北市內湖區成功路２段３２５號	2	87923311	1	1	A		20001001
1	501160014	軍方醫院（民眾診療）	三軍總醫院北投分院附設民眾診療服務處	臺北市北投區新民路６０號、中和街２５０號１至４樓	2	28959808	2	2	A		19950301
1	511040010	軍方醫院（民眾診療）	三軍總醫院基隆分院附設民眾診療服務處	基隆市中正區正榮街１００號，仁愛區孝二路３９號２樓	2	24633330	3	1	A		19950301
1	601160016	榮民醫院	臺北榮民總醫院	臺北市北投區石牌路２段２０１號	2	28712121	1	1	A		19950301
1	634030014	榮民醫院	臺北榮民總醫院蘇澳分院	宜蘭縣蘇澳鎮蘇濱路１段３０１號、中山路１段４３９號	3	9905106	3	1	A		19950301
1	634070018	榮民醫院	臺北榮民總醫院員山分院	宜蘭縣員山鄉榮光路３８６號、宜蘭縣宜蘭市林森路１號	3	9222141	3	1	A		19950301
1	701160518	公立機關（構）附設醫院	臺北市立關渡醫院-委託臺北榮民總醫院經營	臺北市北投區知行路２２５巷１２號	2	28587000	3	6	A		20000718
1	901020013	醫療社團法人醫院	中山醫療社團法人中山醫院	臺北市大安區仁愛路４段１１２巷１１號、１２號	2	27081166	3	1	A		20070101
1	901180023	醫療社團法人醫院	郵政醫院（委託中英醫療社團法人經營）	臺北市中正區福州街１４號	2	23956755	3	2	A		20150813
1	901190010	醫療社團法人醫院	西園醫療社團法人西園醫院	臺北市萬華區西園路２段２６６～２７４號、１８５、１８７號	2	23076968	3	1	A		20180601
1	911010010	醫療社團法人醫院	維德醫療社團法人基隆維德醫院	基隆市中正區調和街２１０號	2	24696688	3	4	A		20160930
1	931010016	醫療社團法人醫院	中英醫療社團法人中英醫院	新北市板橋區文化路１段１９６號１－４樓	2	22563584	3	2	A		20071201
1	931010025	醫療社團法人醫院	中英醫療社團法人板英醫院	新北市板橋區文化路１段２６７、２６９、２７１號１－４樓	2	82513923	3	2	A		20090701
1	931050010	醫療社團法人醫院	怡濟慈園醫療社團法人宏濟神經精神科醫院	新北市新店區安忠路５７巷５號	2	22118899	3	4	A		20160707
1	931060016	醫療社團法人醫院	新仁醫療社團法人新仁醫院	新北市新莊區中正路３９５號、福海街２４巷１號	2	22017212	3	2	A		20110601
1	931090014	醫療社團法人醫院	永聖醫療社團法人文化醫院	新北市三峽區介壽路１段１９９號	2	26732885	3	2	A		20080221
1	931100015	醫療社團法人醫院	北新醫療社團法人北新醫院	新北市淡水區忠寮里演戲埔腳１之２號	2	26209199	3	4	A		20160811
1	934060027	醫療社團法人醫院	海天醫療社團法人海天醫院	宜蘭縣壯圍鄉古亭路２３－９號	3	9308010	3	4	A		20111201
1	1101010021	醫療財團法人醫院	基督復臨安息日會醫療財團法人臺安醫院	臺北市松山區八德路２段４２４、４２６號	2	27718151	2	1	A		19970801
1	1101020018	醫療財團法人醫院	國泰醫療財團法人國泰綜合醫院	臺北市大安區仁愛路４段２８０號，２６６巷６號	2	27082121	1	1	A		19950301
1	1101020027	醫療財團法人醫院	中心診所醫療財團法人中心綜合醫院	臺北市大安區忠孝東路４段７７號	2	27510221	3	1	A		19950301
1	1101020036	醫療財團法人醫院	宏恩醫療財團法人宏恩綜合醫院	臺北市大安區仁愛路４段７１巷１號及４段６１號、９１巷１６號	2	27713161	3	1	A		19950301
1	1101100011	醫療財團法人醫院	台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院	臺北市中山區中山北路２段９２號	2	25433535	1	1	A		19950301
1	1101100020	醫療財團法人醫院	台灣基督長老教會馬偕醫療財團法人馬偕兒童醫院	臺北市中山區中山北路２段９２號	2	25433535	1	1	A		20140917
1	1101110026	醫療財團法人醫院	康寧醫療財團法人康寧醫院	臺北市內湖區成功路５段４２０巷２６號	2	26345500	3	1	A		19990801
1	1101150011	醫療財團法人醫院	新光醫療財團法人新光吳火獅紀念醫院	臺北市士林區文昌路９５號及士商路５１號１至７樓５３、５５號	2	28332211	1	1	A		19950301
1	1101160017	醫療財團法人醫院	振興醫療財團法人振興醫院	臺北市北投區振興街４５號	2	28264400	2	1	A		19950301
1	1101160026	醫療財團法人醫院	醫療財團法人辜公亮基金會和信治癌中心醫院	臺北市北投區立德路１２５號	2	66030011	2	1	A		19970524
1	1111060015	醫療財團法人醫院	長庚醫療財團法人基隆長庚紀念醫院	基隆市安樂區麥金路２２２號、基隆市麥金路２０１號	2	24313131	2	1	A		19950301
1	1131010011	醫療財團法人醫院	醫療財團法人徐元智先生醫藥基金會亞東紀念醫院	新北市板橋區南雅南路２段２１號及高爾富路３００號	2	89667000	1	1	A		19950301
